"res-5zx6ot href","res-aogzfy","res-inoga3 href","res-1mkhkpt src","res-1j9e5pd href","res-ewgtgq","res-ewgtgq 2","res-du9bhi","res-1bl90s9","res-7axup0","res-7lz8jh","res-7axup0 2","res-7lz8jh 2","res-7axup0 3","res-7lz8jh 5","res-7axup0 6","res-9lmmub","res-du9bhi 2","res-1jn70yv","res-kjzl78","res-kjzl78 2","res-kjzl78 3","res-kjzl78 4","text-snippet-expand-button"
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/check24-112642/jobs","https://www.stepstone.de/upload_DE/logo/A/logoCHECK24-112642DE-2505151129.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--Fullstack-Softwareentwickler-m-w-d-HR-Automation-Muenchen-CHECK24--13889022-inline.html","Fullstack Softwareentwickler (m/w/d) HR-Automation","CHECK24","München","62.000 - 83.000 €/Jahr  (geschätzt für Vollzeit)","Git","|","TypeScript","|","Englisch","|","Deutsch","vor 2 Tagen","","","","","","",""
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/anstalt-f%c3%bcr-kommunale-datenverarbeitung-in-bayern-akdb-58375/jobs","https://www.stepstone.de/upload_DE/logo/A/logoAKDB,_Anstalt_f%C3%BCr_Kommunale_Datenverarbeitung_in_Bayern_58375DE.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--Softwareentwickler-m-w-d-Public-Sector-Solutions-Bayreuth-Landshut-Muenchen-Nuernberg-Wuerzburg-Anstalt-fuer-Kommunale-Datenverarbeitung-in-Bayern-AKDB--13177164-inline.html","Softwareentwickler (m/w/d) – Public Sector Solutions","Anstalt für Kommunale Datenverarbeitung in Bayern (AKDB)","Bayreuth, Landshut, München, Nürnberg, Würzburg","47.000 - 68.000 €/Jahr  (geschätzt für Vollzeit)","Git","|","SQL","","","|",".NET","vor 6 Tagen","Teilweise Home-Office","","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/msg-nexinsure-ag-392420/jobs","https://www.stepstone.de/upload_DE/logo/E/logomsg-nexinsure-ag-392420DE-2503270752.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--Softwareentwickler-all-genders-Chemnitz-Hamburg-Ismaning-bei-Muenchen-Koeln-Passau-msg-nexinsure-ag--13936802-inline.html","Softwareentwickler (all genders)","msg nexinsure ag","Chemnitz, Hamburg, Ismaning (bei München), Köln, Passau","42.000 - 68.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 5 Tagen","Teilweise Home-Office","Schnelle Bewerbung","Unsere  hilft Versicherungen in mehr als 30 Ländern dabei, die Verträge ihrer Kunden problemlos zu verwalten. * Dabei erstellst Du -Konzeptionen und entwickelst die  unseres Produktes unter Berücksichtigung von kundenspezifischen Prozessen und Umgebungen * Du implementierst kundenorientierte -Lösungen und Anforderungen unter besonderer Beachtung der Fachfunktionalität * Know-how und Erfahrung in Java sowie in der  von Webservices (SOAP, REST) Wir sind auf der Suche nach Mitarbeitenden, die eigene Ideen und Impulse einbringen - sei es in unsere Arbeitsprozesse oder","Software","Software","Software","mehr"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/adesso-se-7420/jobs","https://www.stepstone.de/upload_DE/logo/A/logoadesso-AG-7420DE.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--Senior-Software-Engineer-Geoinformationssysteme-GIS-all-genders-Berlin-Hamburg-Muenchen-Koeln-Frankfurt-Stuttgart-Leipzig-Dortmund-adesso-SE--13949393-inline.html","Senior Software Engineer Geoinformationssysteme (GIS) (all genders)","adesso SE","Berlin, Hamburg, München, Köln, Frankfurt, Stuttgart, Leipzig, Dortmund","59.000 - 98.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 3 Tagen","Teilweise Home-Office","Anschreiben nicht erforderlich","Analyse und Optimierung: In interdisziplinären Projektteams übernimmst du gemeinsam mit deinem Team abwechslungsreiche Tätigkeiten in technisch anspruchsvollen  aus dem gesamten Engineering-Prozess. * Weiterentwicklung: Du entwickelst und optimierst kundenspezifische  weiter.  ist für dich mehr als Programmierung und Code, sondern eine Schnittstelle zwischen Unternehmen und Menschen. * Aktuelle Konzepte und Werkzeuge: Du beherrschst aktuelle Konzepte und Werkzeuge der  wie z.B. Scrum, Docker, CI/CD, DevOps, Domain-driven Design.","Softwareprojekten","Softwarelösungen","Softwareentwicklung","mehr"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/kare-design-gmbh-45795/jobs","https://www.stepstone.de/upload_DE/logo/2/logoKARE-Design-GmbH-45795DE-2108260942.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--Software-Entwickler-w-m-d-ABAS-ERP-System-Garching-bei-Muenchen-KARE-Design-GmbH--13529123-inline.html","Software-Entwickler (w/m/d) ABAS ERP-System","KARE Design GmbH","Garching bei München","42.000 - 58.000 €/Jahr  (geschätzt für Vollzeit)","Informatik","|","Englisch","|","Deutsch","|","Kommunikation","vor 18 Stunden","Teilweise Home-Office","","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/arrk-engineering-gmbh-2718/jobs","https://www.stepstone.de/upload_DE/logo/P/logoP-Z-Engineering-GmbH-2718DE.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--Digital-Agentic-AI-Engineer-m-w-d-Muenchen-ARRK-Engineering-GmbH--13936805-inline.html","Digital & Agentic AI Engineer (m/w/d)","ARRK Engineering GmbH","München","67.000 - 89.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 5 Tagen","","Schnelle Bewerbung","Mehrjährige Berufserfahrung als  Senior  oder Architect. * Abgeschlossenes Studium in Informatik, Ingenieurwissenschaften,  Engineering oder eine vergleichbare Qualifikation.","Software Engineer,","Engineer","Software","mehr"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/adesso-insurance-solutions-gmbh-153720/jobs","https://www.stepstone.de/upload_DE/logo/A/logoadesso-insurance-solutions-GmbH-153720DE.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--AI-Engineer-Software-Engineer-all-genders-Berlin-Dortmund-Frankfurt-Hamburg-Koeln-Muenchen-Stuttgart-adesso-insurance-solutions-GmbH--13885321-inline.html","AI Engineer / Software Engineer (all genders)","adesso insurance solutions GmbH","Berlin, Dortmund, Frankfurt, Hamburg, Köln, München, Stuttgart","59.000 - 93.000 €/Jahr  (geschätzt für Vollzeit)","Englisch","|","Git","","","|","Deutsch","vor 3 Tagen","Teilweise Home-Office","","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/gema-gesellschaft-f%c3%bcr-musik-auff%c3%bchrungs-und-mechan-vervielf%c3%a4ltigungsrechte-30168/jobs","https://www.stepstone.de/upload_DE/logo/1/logoGEMA-Gesellschaft-fur-musik-Auffuhrungs-und-mechan-Vervielfaeltigungsrechte-30168DE-2403191649.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--Application-Engineer-m-w-d-Muenchen-Berlin-GEMA-Gesellschaft-fuer-musik-Auffuehrungs-und-mechan-Vervielfaeltigungsrechte--13954166-inline.html","Application Engineer (m/w/d)","GEMA - Gesellschaft für musik. Aufführungs- und mechan. Vervielfältigungsrechte","München, Berlin","","","","","","","","","vor 23 Stunden","Teilweise Home-Office","","GEMA - Gesellschaft für musik. Aufführungs- und mechan. Vervielfältigungsrechte * München, Berlin * Feste Anstellung * Homeoffice möglich, Vollzeit - Sei einer der ersten Bewerber - Du setzt dich dafür ein, dass Kreativschaffende an den Einnahmen aus der Nutzung ihrer Musikwerke fair beteiligt werden und sich ganz auf ihr künstlerisches Schaffen konzentrieren können. Das ist unsere Purpose, das ist unsere Motivation! In dieser Rolle entwickelst du unsere Applikationslandschaft gezielt weiter und sorgst dafür, dass zentrale Lösungen stabil, sicher und zukunftsfähig bleiben. Ein besonderer Schwerpunkt liegt auf der Wartung und Weiterentwicklung der OpenText-Produktlandschaft sowie auf der technischen Anbindung an angrenzende Systeme. So schaffst du verlässliche Voraussetzungen für effiziente Prozesse und eine produktive Nutzung im Arbeitsalltag.","","","","mehr"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/and-e-37784/jobs","https://www.stepstone.de/upload_DE/logo/6/logoAioi-Nissay-Dowa-Insurance-Company-of-Europe-SE-37784DE-2405241154.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--IT-Software-Engineer-in-RPG-m-f-d-Ismaning-AND-E--13867362-inline.html","IT Software Engineer in RPG (m/f/d)","AND-E","Ismaning","60.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 5 Tagen","Teilweise Home-Office","Schnelle Bewerbung","AND-E * Ismaning * Feste Anstellung * Homeoffice möglich, Vollzeit - Anschreiben nicht erforderlich - Schnelle Bewerbung - About us - At AND-E, we're redefining the future of mobility insurance. As part of the global MS&AD Group and in close partnership with Toyota, we aim to make tomorrow's journeys simpler, safer, and smarter. Our expertise spans over 30 markets in Europe and South Africa, providing tailored insurance solutions for Toyota and Lexus customers and various white-label partners. In Germany, our offerings include motor insurance, commercial fleet coverage, payment protection insurance, and support for Japanese businesses operating abroad. Our commitment extends beyond business: at AND-E we support our people to grow, make a difference for customers, and help shape the future of connected mobility protection. Cultural Fit","","","","mehr"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/adesso-se-7420/jobs","https://www.stepstone.de/upload_DE/logo/A/logoadesso-AG-7420DE.gif?im=Resize=(56,56)","https://www.stepstone.de/stellenangebote--Senior-Software-Engineer-KI-all-genders-Stuttgart-Nuernberg-Muenchen-Karlsruhe-Ulm-Walldorf-weitere-Standorte-in-DE-adesso-SE--13949314-inline.html","Senior Software Engineer KI (all genders)","adesso SE","Stuttgart, Nürnberg, München, Karlsruhe, Ulm, Walldorf, weitere Standorte in DE","58.000 - 98.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","","","vor 4 Tagen","Teilweise Home-Office","Anschreiben nicht erforderlich","In a nutshell: In interdisziplinären Projektteams übernimmst du gemeinsam mit deinem Team abwechslungsreiche Tätigkeiten in technisch anspruchsvollen kundenspezifischen  aus dem gesamten Engineering-Prozess. * Starker Hintergrund: Du bringst einen starken Hintergrund in Java-Backend-Entwicklung, KI-Programmierung und -Engineering mit.","Softwareprojekten","Software","","mehr"
