"res-5zx6ot href","res-aogzfy","res-inoga3 href","res-1j9e5pd href","res-ewgtgq","res-ewgtgq 2","res-du9bhi","res-1bl90s9","res-7axup0","res-7lz8jh","res-7axup0 2","res-7lz8jh 5","res-7axup0 6","res-9lmmub","res-du9bhi 2","res-kjzl78","res-kjzl78 2","res-kjzl78 3","res-kjzl78 4","text-snippet-expand-button","res-1mkhkpt src","res-1jn70yv","res-kjzl78 5","res-kjzl78 6","res-kjzl78 7","res-kjzl78 8"
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/bayoosoft-gmbh-130676/jobs","https://www.stepstone.de/stellenangebote--Softwareentwickler-m-w-d-Produktentwicklung-Berlin-Darmstadt-Koeln-Muenchen-BAYOOSOFT-GmbH--13928974-inline.html","Softwareentwickler (m/w/d) – Produktentwicklung","BAYOOSOFT GmbH","Berlin, Darmstadt, Köln, München","45.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)","TypeScript","|","Englisch","|",".NET","vor 1 Woche","","","","","","","","","","","",""
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/ferchau-%e2%80%93-connecting-people-and-technologies-6095/jobs","https://www.stepstone.de/stellenangebote--Software-Developer-m-f-d-Aerospace-Defence-Garching-b-Muenchen-FERCHAU-Connecting-People-and-Technologies--9069826-inline.html","Software Developer (m/f/d) Aerospace & Defence","FERCHAU – Connecting People and Technologies","Garching b. München","52.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 3 Wochen","Teilweise Home-Office","Exciting projects in the field of  development in the aerospace industry * Participation in the design and development of complex  * Initial knowledge of object-oriented  development with Java, C ++ or in the aera of test automation with Python or Rust * FERCHAU – Connecting People and Technologies * Garching b. München * Feste Anstellung * Homeoffice möglich, Vollzeit - Taking technology to the next level. Facing up to challenges and working on the innovations of tomorrow - for this, we at FERCHAU need experts like you: as someone ambitious who, like us, wants to take technology to the next level. We are involved in exciting projects for well-known customers in the aerospace industry and take on responsibility for complex development projects. Do you want to fully realise your potential? We offer you an environment with diverse tasks, new challenges and constant opportunities with ...","software","software","software","mehr","","","","","",""
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/bluemetering-gmbh-276392/jobs","https://www.stepstone.de/stellenangebote--Software-Entwickler-m-w-d-Muenchen-BlueMetering-GmbH--13928204-inline.html","Software Entwickler (m/w/d)","BlueMetering GmbH","München","40.000 - 50.000 €/Jahr  (geschätzt für Vollzeit)","TypeScript","|","Angular","|",".NET","vor 1 Woche","Teilweise Home-Office","","","","","","","","","","",""
"[object Object]","Passt hervorragend","https://www.stepstone.de/cmp/de/anstalt-f%c3%bcr-kommunale-datenverarbeitung-in-bayern-akdb-58375/jobs","https://www.stepstone.de/stellenangebote--Softwareentwickler-m-w-d-Public-Sector-Solutions-Bayreuth-Landshut-Muenchen-Nuernberg-Wuerzburg-Anstalt-fuer-Kommunale-Datenverarbeitung-in-Bayern-AKDB--13177164-inline.html","Softwareentwickler (m/w/d) – Public Sector Solutions","Anstalt für Kommunale Datenverarbeitung in Bayern (AKDB)","Bayreuth, Landshut, München, Nürnberg, Würzburg","47.000 - 68.000 €/Jahr  (geschätzt für Vollzeit)","Git","|","SQL","|",".NET","vor 6 Tagen","Teilweise Home-Office","","","","","","https://www.stepstone.de/upload_DE/logo/A/logoAKDB,_Anstalt_f%C3%BCr_Kommunale_Datenverarbeitung_in_Bayern_58375DE.gif?im=Resize=(56,56)","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/reverion-gmbh-355487/jobs","https://www.stepstone.de/stellenangebote--Team-Lead-Software-Development-m-w-d-Eresing-Reverion-GmbH--13821203-inline.html","Team Lead Software Development (m/w/d)","Reverion GmbH","Eresing","70.000 - 90.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 20 Stunden","Teilweise Home-Office","Dann bewirb dich jetzt als  | Fleet & Services (m/w/d) bei uns! Als  | Fleet & Services (m/w/d) bist du entscheidende:r Architekt:in an der Schnittstelle zwischen der SPS-Welt (PLC) und moderner Cloud-Infrastruktur. * Du führst und coachst ein  aus -Entwicklern und förderst deren fachliche wie persönliche Weiterentwicklung. Du führst ein  das unsere Anlagen vernetzt, Echtzeitdaten nutzbar macht und digitale Lösungen wie unser Remote Plant Operation Cockpit aktiv vorantreibt. * Du stellst sicher, dass Sensordaten in Echtzeit verarbeitet werden können und arbeitest dabei in enger Abstimmung mit unserem Data Analytics & Digital Solutions  * Du unterstützt unsere SPS-Entwickler sowie Application und Control Engineers bei der  und setzt Feature Requests um wo nötig.","Team Lead Software Development","Team Lead Software Development","Team","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Schnelle Bewerbung","Software","Team,","Team.","Softwareentwicklung"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/msg-nexinsure-ag-392420/jobs","https://www.stepstone.de/stellenangebote--Softwareentwickler-all-genders-Chemnitz-Hamburg-Ismaning-bei-Muenchen-Koeln-Passau-msg-nexinsure-ag--13936802-inline.html","Softwareentwickler (all genders)","msg nexinsure ag","Chemnitz, Hamburg, Ismaning (bei München), Köln, Passau","42.000 - 68.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 4 Tagen","Teilweise Home-Office","Unsere  hilft Versicherungen in mehr als 30 Ländern dabei, die Verträge ihrer Kunden problemlos zu verwalten. * Dabei erstellst Du -Konzeptionen und entwickelst die  unseres Produktes unter Berücksichtigung von kundenspezifischen Prozessen und Umgebungen * Du implementierst kundenorientierte -Lösungen und Anforderungen unter besonderer Beachtung der Fachfunktionalität * Know-how und Erfahrung in Java sowie in der  von Webservices (SOAP, REST) Wir sind auf der Suche nach Mitarbeitenden, die eigene Ideen und Impulse einbringen - sei es in unsere Arbeitsprozesse oder  * msg nexinsure ag * Chemnitz, Hamburg, Ismaning (bei München), Köln, Passau * Feste Anstellung * Homeoffice möglich, Teilzeit, Vollzeit - Sei einer der ersten Bewerber - Schnelle Bewerbung - Du suchst Abwechslung statt Alltagsroutine? Teamspirit statt starrer Hierarchien?","Software","Software","Software","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Schnelle Bewerbung","Software","Softwareentwicklung","Softwarelösungen.",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/adesso-insurance-solutions-gmbh-153720/jobs","https://www.stepstone.de/stellenangebote--AI-Engineer-Software-Engineer-all-genders-Berlin-Dortmund-Frankfurt-Hamburg-Koeln-Muenchen-Stuttgart-adesso-insurance-solutions-GmbH--13885321-inline.html","AI Engineer / Software Engineer (all genders)","adesso insurance solutions GmbH","Berlin, Dortmund, Frankfurt, Hamburg, Köln, München, Stuttgart","59.000 - 93.000 €/Jahr  (geschätzt für Vollzeit)","Englisch","|","Git","|","Deutsch","vor 2 Tagen","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/iabg-industrieanlagen-betriebsgesellschaft-mbh-42217/jobs","https://www.stepstone.de/stellenangebote--Senior-Softwareentwickler-fuer-Echtzeit-Simulationsmodelle-in-C-fuer-Radar-und-Kommunikationssysteme-m-w-d-Ottobrunn-bei-Muenchen-IABG-Industrieanlagen-Betriebsgesellschaft-mbH--13940583-inline.html","(Senior) Softwareentwickler für Echtzeit Simulationsmodelle in C++ für Radar- und Kommunikationssysteme (m/w/d)","IABG Industrieanlagen - Betriebsgesellschaft mbH","Ottobrunn bei München","54.000 - 89.000 €/Jahr  (geschätzt für Vollzeit)","Informatik","|","Englisch","|","C++","vor 3 Tagen","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/prodyna-se-22458/jobs","https://www.stepstone.de/stellenangebote--Software-Architect-all-genders-Berlin-Hamburg-Frankfurt-am-Main-Duesseldorf-Muenchen-Stuttgart-PRODYNA-SE--13799030-inline.html","Software Architect (all genders)","PRODYNA SE","Berlin, Hamburg, Frankfurt am Main, Düsseldorf, München, Stuttgart","60.000 - 89.000 €/Jahr  (geschätzt für Vollzeit)","Informatik","|","Englisch","|","Kommunikation","vor 1 Woche","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/and-e-37784/jobs","https://www.stepstone.de/stellenangebote--IT-Software-Engineer-in-RPG-m-f-d-Ismaning-AND-E--13867362-inline.html","IT Software Engineer in RPG (m/f/d)","AND-E","Ismaning","60.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 4 Tagen","Teilweise Home-Office","What  takes to succeed in this role * AND-E * Ismaning * Feste Anstellung * Homeoffice möglich, Vollzeit - Anschreiben nicht erforderlich - Schnelle Bewerbung - About us - At AND-E, we're redefining the future of mobility insurance. As part of the global MS&AD Group and in close partnership with Toyota, we aim to make tomorrow's journeys simpler, safer, and smarter. Our expertise spans over 30 markets in Europe and South Africa, providing tailored insurance solutions for Toyota and Lexus customers and various white-label partners. In Germany, our offerings include motor insurance, commercial fleet coverage, payment protection insurance, and support for Japanese businesses operating abroad. Our commitment extends beyond business: at AND-E we support our people to grow, make a difference for customers, and help shape the future of connected mobility protection. Cultural Fit","it","","","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Schnelle Bewerbung","","","",""
