match,date,position,job_url
per,vor 2 Tagen,Software Engineer Conversational AI (all genders),https://www.stepstone.de/stellenangebote--Software-Engineer-Conversational-AI-all-genders-Aachen-Augsburg-Berlin-Bonn-Bremen-Dortmund-weitere-Standorte-in-DE-adesso-SE--13949296-inline.html
per,vor 2 Tagen,Fachinformatiker:in (m/w/d) – Anwendungsentwicklung / Ruby on Rails,https://www.stepstone.de/stellenangebote--Fachinformatiker-in-m-w-d-Anwendungsentwicklung-Ruby-on-Rails-Freising-Hochschule-Weihenstephan-Triesdorf--13877235-inline.html
per,vor 3 Tagen,AI Software Developer (m/w/d),https://www.stepstone.de/stellenangebote--AI-Software-Developer-m-w-d-Muenchen-CIB-software-GmbH--13941247-inline.html
per,vor 6 Tagen,Softwareentwickler (m/w/d) – Public Sector Solutions,https://www.stepstone.de/stellenangebote--Softwareentwickler-m-w-d-Public-Sector-Solutions-Bayreuth-Landshut-Muenchen-Nuernberg-Wuerzburg-Anstalt-fuer-Kommunale-Datenverarbeitung-in-Bayern-AKDB--13177164-inline.html
per,vor 1 Woche,Softwareentwickler (m/w/d) – Produktentwicklung,https://www.stepstone.de/stellenangebote--Softwareentwickler-m-w-d-Produktentwicklung-Berlin-Darmstadt-Koeln-Muenchen-BAYOOSOFT-GmbH--13928974-inline.html
per,vor 1 Woche,Software Entwickler (m/w/d),https://www.stepstone.de/stellenangebote--Software-Entwickler-m-w-d-Muenchen-BlueMetering-GmbH--13928204-inline.html
per,vor 1 Woche,Experienced Full Stack Software Engineer (all genders),https://www.stepstone.de/stellenangebote--Experienced-Full-Stack-Software-Engineer-all-genders-Berlin-Hamburg-Frankfurt-am-Main-Duesseldorf-Muenchen-Stuttgart-PRODYNA-SE--13799028-inline.html
per,vor 1 Woche,Mitarbeiter (m/w/d) in der Anwendungsentwicklung,https://www.stepstone.de/stellenangebote--Mitarbeiter-m-w-d-in-der-Anwendungsentwicklung-Muenchen-KRAFTFAHRER-SCHUTZ-e-V--13839383-inline.html
per,vor 3 Wochen,Software Developer (m/w/d) Java,https://www.stepstone.de/stellenangebote--Software-Developer-m-w-d-Java-Garching-bei-Muenchen-FERCHAU-Connecting-People-and-Technologies--11893091-inline.html
per,vor 3 Wochen,Embedded / Middleware Software Developer (m/f/d),https://www.stepstone.de/stellenangebote--Embedded-Middleware-Software-Developer-m-f-d-Garching-bei-Muenchen-FERCHAU-Connecting-People-and-Technologies--13490826-inline.html
per,vor 4 Wochen,Softwareentwickler (gn) C++,https://www.stepstone.de/stellenangebote--Softwareentwickler-gn-C-Graefelfing-bei-Muenchen-Ingenics-Digital-GmbH--13693999-inline.html
gut,vor 2 Tagen,Embedded Software Developer - Security Protocol (m/w/d),https://www.stepstone.de/stellenangebote--Embedded-Software-Developer-Security-Protocol-m-w-d-Muenchen-Rohde-Schwarz-GmbH-Co-KG--13368018-inline.html
gut,vor 4 Tagen,Softwareentwickler (all genders),https://www.stepstone.de/stellenangebote--Softwareentwickler-all-genders-Chemnitz-Hamburg-Ismaning-bei-Muenchen-Koeln-Passau-msg-nexinsure-ag--13936802-inline.html
gut,vor 4 Tagen,IT Software Engineer in RPG (m/f/d),https://www.stepstone.de/stellenangebote--IT-Software-Engineer-in-RPG-m-f-d-Ismaning-AND-E--13867362-inline.html
gut,vor 4 Tagen,Digital & Agentic AI Engineer (m/w/d),https://www.stepstone.de/stellenangebote--Digital-Agentic-AI-Engineer-m-w-d-Muenchen-ARRK-Engineering-GmbH--13936805-inline.html
gut,vor 5 Tagen,"Validation Engineer - Context, Semantics & Memory (f/m/x)",https://www.stepstone.de/stellenangebote--Validation-Engineer-Context-Semantics-Memory-f-m-x-Muenchen-BMW-Group--13932222-inline.html
gut,vor 1 Woche,Software Engineer Systems (m/w/d) | HCPCST,https://www.stepstone.de/stellenangebote--Software-Engineer-Systems-m-w-d-HCPCST-Muenster-Karlsruhe-Aschheim-Atruvia-AG--13782516-inline.html
gut,vor 1 Woche,Software Entwickler für MS Dynamics Business Central (m/w/d),https://www.stepstone.de/stellenangebote--Software-Entwickler-fuer-MS-Dynamics-Business-Central-m-w-d-Rosenheim-Muenchen-Nuernberg-Regensburg-Ingolstadt-Wuerzburg-Bayreuth-Ulm-Stuttgart-Karlsruhe-tegos-Holding-GmbH--7077923-inline.html
gut,vor 1 Woche,Software Developer (m/w/d) Automation,https://www.stepstone.de/stellenangebote--Software-Developer-m-w-d-Automation-Markt-Schwaben-Koerber-Pharma-Inspection-GmbH--13916618-inline.html
gut,vor 1 Woche,Software Engineer Conversational AI (all genders),https://www.stepstone.de/stellenangebote--Software-Engineer-Conversational-AI-all-genders-Augsburg-Karlsruhe-Koblenz-Nuernberg-Saarbruecken-Stuttgart-Ulm-Walldorf-adesso-SE--13911822-inline.html
gut,vor 1 Woche,Java Softwareentwickler - API & Backend (m/w/d),https://www.stepstone.de/stellenangebote--Java-Softwareentwickler-API-Backend-m-w-d-Muenchen-Bayerische-Versorgungskammer--13910320-inline.html
gut,vor 1 Woche,GenAI Engineering Coach (all genders),https://www.stepstone.de/stellenangebote--GenAI-Engineering-Coach-all-genders-Augsburg-Karlsruhe-Koblenz-Muenchen-Nuernberg-Saarbruecken-Stuttgart-Ulm-Walldorf-adesso-SE--13911887-inline.html
gut,vor 1 Woche,Software Engineer DevOps for Embedded (m/f/d),https://www.stepstone.de/stellenangebote--Software-Engineer-DevOps-for-Embedded-m-f-d-Kaufering-bei-Muenchen-Hilti-Deutschland-AG--13853987-inline.html
gut,vor 1 Woche,AI Solution & Automation Engineer (m/w/d),https://www.stepstone.de/stellenangebote--AI-Solution-Automation-Engineer-m-w-d-Putzbrunn-Truma-Geraetetechnik-GmbH-Co-KG--13916796-inline.html
